PrintDate,Date,N_ms,Th,Tm,Ts,T1SP,T1inT,TempT1,T1RelayState,T2SP,T2inT,TempT2,T2RelayState,T3SP,T3inT,TempT3,T3RelayState,T4SP,T4inT,TempT4,T4RelayState,
20210619_CBASS2_RW6N,2021_June_19,583470,11,42,36,27.50,28.81,28.81,CHL,27.50,28.87,28.87,CHL,27.50,28.69,28.69,CHL,27.50,28.62,28.62,CHL,
20210619_CBASS2_RW6N,2021_June_19,591102,11,42,44,27.50,28.75,28.75,CHL,27.50,28.87,28.87,CHL,27.50,28.69,28.69,CHL,27.50,28.62,28.62,CHL,
20210619_CBASS2_RW6N,2021_June_19,598735,11,42,57,27.50,28.75,28.75,CHL,27.50,28.87,28.87,CHL,27.50,28.69,28.69,CHL,27.50,28.56,28.56,CHL,
20210619_CBASS2_RW6N,2021_June_19,612169,11,43,5,27.50,28.75,28.75,CHL,27.50,28.87,28.87,CHL,27.50,28.69,28.69,CHL,27.50,28.56,28.56,CHL,
20210619_CBASS2_RW6N,2021_June_19,619800,11,43,12,27.50,28.75,28.75,CHL,27.50,28.87,28.87,CHL,27.50,28.69,28.69,CHL,27.50,28.56,28.56,CHL,
20210619_CBASS2_RW6N,2021_June_19,627433,11,43,20,27.50,28.75,28.75,CHL,27.50,28.87,28.87,CHL,27.50,28.69,28.69,CHL,27.50,28.56,28.56,CHL,
20210619_CBASS2_RW6N,2021_June_19,635066,11,43,28,27.50,28.75,28.75,CHL,27.50,28.87,28.87,CHL,27.50,28.69,28.69,CHL,27.50,28.56,28.56,CHL,
20210619_CBASS2_RW6N,2021_June_19,642702,11,43,35,27.50,28.75,28.75,CHL,27.50,28.87,28.87,CHL,27.50,28.69,28.69,CHL,27.50,28.56,28.56,CHL,
20210619_CBASS2_RW6N,2021_June_19,650335,11,43,43,27.50,28.75,28.75,CHL,27.50,28.87,28.87,CHL,27.50,28.69,28.69,CHL,27.50,28.56,28.56,CHL,
20210619_CBASS2_RW6N,2021_June_19,657968,11,43,51,27.50,28.75,28.75,CHL,27.50,28.87,28.87,CHL,27.50,28.69,28.69,CHL,27.50,28.56,28.56,CHL,
20210619_CBASS2_RW6N,2021_June_19,665601,11,44,4,27.50,28.75,28.75,CHL,27.50,28.87,28.87,CHL,27.50,28.69,28.69,CHL,27.50,28.56,28.56,CHL,
20210619_CBASS2_RW6N,2021_June_19,679033,11,44,12,27.50,28.75,28.75,CHL,27.50,28.87,28.87,CHL,27.50,28.62,28.62,CHL,27.50,28.56,28.56,CHL,
20210619_CBASS2_RW6N,2021_June_19,686666,11,44,19,27.50,28.75,28.75,CHL,27.50,28.87,28.87,CHL,27.50,28.62,28.62,CHL,27.50,28.56,28.56,CHL,
20210619_CBASS2_RW6N,2021_June_19,694299,11,44,27,27.50,28.75,28.75,CHL,27.50,28.87,28.87,CHL,27.50,28.62,28.62,CHL,27.50,28.50,28.50,CHL,
20210619_CBASS2_RW6N,2021_June_19,701931,11,44,35,27.50,28.69,28.69,CHL,27.50,28.87,28.87,CHL,27.50,28.62,28.62,CHL,27.50,28.50,28.50,CHL,
20210619_CBASS2_RW6N,2021_June_19,709567,11,44,42,27.50,28.69,28.69,CHL,27.50,28.87,28.87,CHL,27.50,28.62,28.62,CHL,27.50,28.50,28.50,CHL,
20210619_CBASS2_RW6N,2021_June_19,717212,11,44,50,27.50,28.69,28.69,CHL,27.50,28.87,28.87,CHL,27.50,28.62,28.62,CHL,27.50,28.50,28.50,CHL,
20210619_CBASS2_RW6N,2021_June_19,724845,11,44,58,27.50,28.69,28.69,CHL,27.50,28.87,28.87,CHL,27.50,28.62,28.62,CHL,27.50,28.50,28.50,CHL,
20210619_CBASS2_RW6N,2021_June_19,732478,11,45,11,27.50,28.69,28.69,CHL,27.50,28.87,28.87,CHL,27.50,28.62,28.62,CHL,27.50,28.50,28.50,CHL,
20210619_CBASS2_RW6N,2021_June_19,745908,11,45,19,27.50,28.69,28.69,CHL,27.50,28.87,28.87,CHL,27.50,28.62,28.62,CHL,27.50,28.50,28.50,CHL,
20210619_CBASS2_RW6N,2021_June_19,753541,11,45,26,27.50,28.69,28.69,CHL,27.50,28.87,28.87,CHL,27.50,28.62,28.62,CHL,27.50,28.50,28.50,CHL,
20210619_CBASS2_RW6N,2021_June_19,761174,11,45,34,27.50,28.69,28.69,CHL,27.50,28.87,28.87,CHL,27.50,28.56,28.56,CHL,27.50,28.50,28.50,CHL,
20210619_CBASS2_RW6N,2021_June_19,768807,11,45,42,27.50,28.69,28.69,CHL,27.50,28.87,28.87,CHL,27.50,28.56,28.56,CHL,27.50,28.50,28.50,CHL,
20210619_CBASS2_RW6N,2021_June_19,776444,11,45,49,27.50,28.69,28.69,CHL,27.50,28.87,28.87,CHL,27.50,28.56,28.56,CHL,27.50,28.44,28.44,CHL,
20210619_CBASS2_RW6N,2021_June_19,784076,11,45,57,27.50,28.69,28.69,CHL,27.50,28.87,28.87,CHL,27.50,28.56,28.56,CHL,27.50,28.50,28.50,CHL,
20210619_CBASS2_RW6N,2021_June_19,791709,11,46,5,27.50,28.69,28.69,CHL,27.50,28.87,28.87,CHL,27.50,28.56,28.56,CHL,27.50,28.44,28.44,CHL,
20210619_CBASS2_RW6N,2021_June_19,799341,11,46,18,27.50,28.62,28.62,CHL,27.50,28.87,28.87,CHL,27.50,28.56,28.56,CHL,27.50,28.44,28.44,CHL,
20210619_CBASS2_RW6N,2021_June_19,812769,11,46,26,27.50,28.62,28.62,CHL,27.50,28.81,28.81,CHL,27.50,28.56,28.56,CHL,27.50,28.44,28.44,CHL,
20210619_CBASS2_RW6N,2021_June_19,820402,11,46,33,27.50,28.62,28.62,CHL,27.50,28.87,28.87,CHL,27.50,28.56,28.56,CHL,27.50,28.44,28.44,CHL,
20210619_CBASS2_RW6N,2021_June_19,828035,11,46,41,27.50,28.62,28.62,CHL,27.50,28.81,28.81,CHL,27.50,28.56,28.56,CHL,27.50,28.44,28.44,CHL,
20210619_CBASS2_RW6N,2021_June_19,835667,11,46,49,27.50,28.62,28.62,CHL,27.50,28.81,28.81,CHL,27.50,28.56,28.56,CHL,27.50,28.44,28.44,CHL,
20210619_CBASS2_RW6N,2021_June_19,843303,11,46,56,27.50,28.62,28.62,CHL,27.50,28.81,28.81,CHL,27.50,28.56,28.56,CHL,27.50,28.44,28.44,CHL,
20210619_CBASS2_RW6N,2021_June_19,850936,11,47,4,27.50,28.62,28.62,CHL,27.50,28.81,28.81,CHL,27.50,28.56,28.56,CHL,27.50,28.44,28.44,CHL,
20210619_CBASS2_RW6N,2021_June_19,858568,11,47,11,27.50,28.62,28.62,CHL,27.50,28.81,28.81,CHL,27.50,28.50,28.50,CHL,27.50,28.44,28.44,CHL,
20210619_CBASS2_RW6N,2021_June_19,866201,11,47,25,27.50,28.62,28.62,CHL,27.50,28.81,28.81,CHL,27.50,28.56,28.56,CHL,27.50,28.44,28.44,CHL,
20210619_CBASS2_RW6N,2021_June_19,879635,11,47,32,27.50,28.62,28.62,CHL,27.50,28.81,28.81,CHL,27.50,28.50,28.50,CHL,27.50,28.44,28.44,CHL,
20210619_CBASS2_RW6N,2021_June_19,887268,11,47,40,27.50,28.62,28.62,CHL,27.50,28.81,28.81,CHL,27.50,28.50,28.50,CHL,27.50,28.44,28.44,CHL,
20210619_CBASS2_RW6N,2021_June_19,894900,11,47,48,27.50,28.62,28.62,CHL,27.50,28.81,28.81,CHL,27.50,28.50,28.50,CHL,27.50,28.37,28.37,CHL,
PrintDate,Date,N_ms,Th,Tm,Ts,T1SP,T1inT,TempT1,T1RelayState,T2SP,T2inT,TempT2,T2RelayState,T3SP,T3inT,TempT3,T3RelayState,T4SP,T4inT,TempT4,T4RelayState,
20210619_CBASS2_RW6N,2021_June_19,902536,11,47,56,27.50,28.62,28.62,CHL,27.50,28.81,28.81,CHL,27.50,28.50,28.50,CHL,27.50,28.37,28.37,CHL,
20210619_CBASS2_RW6N,2021_June_19,910330,11,48,3,27.50,28.62,28.62,CHL,27.50,28.81,28.81,CHL,27.50,28.50,28.50,CHL,27.50,28.37,28.37,CHL,
20210619_CBASS2_RW6N,2021_June_19,917962,11,48,11,27.50,28.56,28.56,CHL,27.50,28.81,28.81,CHL,27.50,28.50,28.50,CHL,27.50,28.37,28.37,CHL,
20210619_CBASS2_RW6N,2021_June_19,925598,11,48,18,27.50,28.62,28.62,CHL,27.50,28.81,28.81,CHL,27.50,28.50,28.50,CHL,27.50,28.37,28.37,CHL,
20210619_CBASS2_RW6N,2021_June_19,933243,11,48,32,27.50,28.62,28.62,CHL,27.50,28.81,28.81,CHL,27.50,28.50,28.50,CHL,27.50,28.37,28.37,CHL,
20210619_CBASS2_RW6N,2021_June_19,946674,11,48,40,27.50,28.62,28.62,CHL,27.50,28.81,28.81,CHL,27.50,28.50,28.50,CHL,27.50,28.37,28.37,CHL,
20210619_CBASS2_RW6N,2021_June_19,954307,11,48,47,27.50,28.56,28.56,CHL,27.50,28.81,28.81,CHL,27.50,28.50,28.50,CHL,27.50,28.37,28.37,CHL,
20210619_CBASS2_RW6N,2021_June_19,961943,11,48,55,27.50,28.56,28.56,CHL,27.50,28.81,28.81,CHL,27.50,28.50,28.50,CHL,27.50,28.37,28.37,CHL,
20210619_CBASS2_RW6N,2021_June_19,969576,11,49,3,27.50,28.56,28.56,CHL,27.50,28.81,28.81,CHL,27.50,28.50,28.50,CHL,27.50,28.37,28.37,CHL,
20210619_CBASS2_RW6N,2021_June_19,977208,11,49,10,27.50,28.56,28.56,CHL,27.50,28.87,28.87,CHL,27.50,28.44,28.44,CHL,27.50,28.37,28.37,CHL,
20210619_CBASS2_RW6N,2021_June_19,984841,11,49,18,27.50,28.56,28.56,CHL,27.50,28.87,28.87,CHL,27.50,28.44,28.44,CHL,27.50,28.37,28.37,CHL,
20210619_CBASS2_RW6N,2021_June_19,992477,11,49,25,27.50,28.56,28.56,CHL,27.50,28.87,28.87,CHL,27.50,28.44,28.44,CHL,27.50,28.37,28.37,CHL,
20210619_CBASS2_RW6N,2021_June_19,1000110,11,49,39,27.50,28.56,28.56,CHL,27.50,28.87,28.87,CHL,27.50,28.44,28.44,CHL,27.50,28.37,28.37,CHL,
20210619_CBASS2_RW6N,2021_June_19,1013541,11,49,46,27.50,28.56,28.56,CHL,27.50,28.87,28.87,CHL,27.50,28.44,28.44,CHL,27.50,28.37,28.37,CHL,
20210619_CBASS2_RW6N,2021_June_19,1021176,11,49,54,27.50,28.56,28.56,CHL,27.50,28.87,28.87,CHL,27.50,28.44,28.44,CHL,27.50,28.37,28.37,CHL,
20210619_CBASS2_RW6N,2021_June_19,1028813,11,50,2,27.50,28.56,28.56,CHL,27.50,28.87,28.87,CHL,27.50,28.44,28.44,CHL,27.50,28.37,28.37,CHL,
20210619_CBASS2_RW6N,2021_June_19,1036445,11,50,9,27.50,28.56,28.56,CHL,27.50,28.87,28.87,CHL,27.50,28.44,28.44,CHL,27.50,28.37,28.37,CHL,
20210619_CBASS2_RW6N,2021_June_19,1044078,11,50,17,27.50,28.56,28.56,CHL,27.50,28.87,28.87,CHL,27.50,28.44,28.44,CHL,27.50,28.37,28.37,CHL,
20210619_CBASS2_RW6N,2021_June_19,1051712,11,50,25,27.50,28.56,28.56,CHL,27.50,28.87,28.87,CHL,27.50,28.44,28.44,CHL,27.50,28.37,28.37,CHL,
20210619_CBASS2_RW6N,2021_June_19,1059348,11,50,32,27.50,28.56,28.56,CHL,27.50,28.87,28.87,CHL,27.50,28.44,28.44,CHL,27.50,28.37,28.37,CHL,
20210619_CBASS2_RW6N,2021_June_19,1066982,11,50,46,27.50,28.56,28.56,CHL,27.50,28.87,28.87,CHL,27.50,28.44,28.44,CHL,27.50,28.37,28.37,CHL,
20210619_CBASS2_RW6N,2021_June_19,1080410,11,50,53,27.50,28.56,28.56,CHL,27.50,28.87,28.87,CHL,27.50,28.44,28.44,CHL,27.50,28.37,28.37,CHL,
20210619_CBASS2_RW6N,2021_June_19,1088046,11,51,1,27.50,28.56,28.56,CHL,27.50,28.87,28.87,CHL,27.50,28.44,28.44,CHL,27.50,28.37,28.37,CHL,
20210619_CBASS2_RW6N,2021_June_19,1095678,11,51,9,27.50,28.56,28.56,CHL,27.50,28.87,28.87,CHL,27.50,28.44,28.44,CHL,27.50,28.37,28.37,CHL,
20210619_CBASS2_RW6N,2021_June_19,1103311,11,51,16,27.50,28.56,28.56,CHL,27.50,28.87,28.87,CHL,27.50,28.44,28.44,CHL,27.50,28.37,28.37,CHL,
20210619_CBASS2_RW6N,2021_June_19,1110945,11,51,24,27.50,28.50,28.50,CHL,27.50,28.87,28.87,CHL,27.50,28.44,28.44,CHL,27.50,28.31,28.31,CHL,
20210619_CBASS2_RW6N,2021_June_19,1118582,11,51,32,27.50,28.50,28.50,CHL,27.50,28.87,28.87,CHL,27.50,28.44,28.44,CHL,27.50,28.37,28.37,CHL,
20210619_CBASS2_RW6N,2021_June_19,1126216,11,51,39,27.50,28.50,28.50,CHL,27.50,28.87,28.87,CHL,27.50,28.44,28.44,CHL,27.50,28.31,28.31,CHL,
20210619_CBASS2_RW6N,2021_June_19,1133850,11,51,53,27.50,28.50,28.50,CHL,27.50,28.87,28.87,CHL,27.50,28.37,28.37,CHL,27.50,28.31,28.31,CHL,
20210619_CBASS2_RW6N,2021_June_19,1147282,11,52,0,27.50,28.50,28.50,CHL,27.50,28.87,28.87,CHL,27.50,28.37,28.37,CHL,27.50,28.37,28.37,CHL,
20210619_CBASS2_RW6N,2021_June_19,1154918,11,52,8,27.50,28.50,28.50,CHL,27.50,28.87,28.87,CHL,27.50,28.37,28.37,CHL,27.50,28.31,28.31,CHL,
20210619_CBASS2_RW6N,2021_June_19,1162562,11,52,16,27.50,28.50,28.50,CHL,27.50,28.87,28.87,CHL,27.50,28.37,28.37,CHL,27.50,28.31,28.31,CHL,
20210619_CBASS2_RW6N,2021_June_19,1170196,11,52,23,27.50,28.50,28.50,CHL,27.50,28.87,28.87,CHL,27.50,28.37,28.37,CHL,27.50,28.31,28.31,CHL,
20210619_CBASS2_RW6N,2021_June_19,1177830,11,52,31,27.50,28.50,28.50,CHL,27.50,28.87,28.87,CHL,27.50,28.37,28.37,CHL,27.50,28.31,28.31,CHL,
